================ Training Loss (Thu Jul 10 09:08:00 2025) ================
(Train - epoch: 1 | iters: 5/56 | time: 4.228) A_RC: -861790336.000 A_RL: 0.000 B_RC: -122012024.000 B_RL: 0.000 A_CY: 2.527 B_CY: 1.730 A_ID: -542100.375 B_ID: -207750.453 Tot: -984552192.000 
(Train - epoch: 1 | iters: 10/56 | time: 4.241) A_RC: -11224801.000 A_RL: 0.004 B_RC: -1163100.625 B_RL: 0.000 A_CY: 5.667 B_CY: 4.139 A_ID: -2739650.250 B_ID: -228250.469 Tot: -15355792.000 
(Train - epoch: 1 | iters: 15/56 | time: 4.210) A_RC: -9571701.000 A_RL: 0.004 B_RC: -3902000.750 B_RL: 0.000 A_CY: 5.266 B_CY: 4.198 A_ID: -2683500.500 B_ID: -254000.438 Tot: -16411194.000 
(Train - epoch: 1 | iters: 20/56 | time: 4.240) A_RC: -127518712.000 A_RL: 0.004 B_RC: -104478208.000 B_RL: 0.000 A_CY: 5.471 B_CY: 4.136 A_ID: -2619900.250 B_ID: -260700.453 Tot: -234877536.000 
(Train - epoch: 1 | iters: 25/56 | time: 4.035) A_RC: -44805604.000 A_RL: 0.004 B_RC: -76173904.000 B_RL: 0.000 A_CY: 4.380 B_CY: 4.124 A_ID: -2636250.250 B_ID: -242200.453 Tot: -123857936.000 
(Train - epoch: 1 | iters: 30/56 | time: 4.159) A_RC: -430466976.000 A_RL: 0.004 B_RC: -22161704.000 B_RL: 0.000 A_CY: 4.410 B_CY: 4.161 A_ID: -2644850.250 B_ID: -250100.453 Tot: -455523648.000 
(Train - epoch: 1 | iters: 35/56 | time: 4.268) A_RC: -529340544.000 A_RL: 0.004 B_RC: -43000400.000 B_RL: 0.000 A_CY: 7.855 B_CY: 4.173 A_ID: -2630250.000 B_ID: -249150.469 Tot: -575220352.000 
(Train - epoch: 1 | iters: 40/56 | time: 4.281) A_RC: -228818720.000 A_RL: 0.004 B_RC: -28495902.000 B_RL: 0.000 A_CY: 8.143 B_CY: 4.168 A_ID: -2661700.250 B_ID: -248350.453 Tot: -260224656.000 
(Train - epoch: 1 | iters: 45/56 | time: 4.372) A_RC: -25077700.000 A_RL: 0.004 B_RC: -13616202.000 B_RL: 0.000 A_CY: 7.747 B_CY: 4.404 A_ID: -2582000.250 B_ID: -335050.438 Tot: -41610944.000 
(Train - epoch: 1 | iters: 50/56 | time: 4.144) A_RC: -103532520.000 A_RL: 0.004 B_RC: -19184904.000 B_RL: 0.000 A_CY: 4.937 B_CY: 4.793 A_ID: -2861250.250 B_ID: -580000.438 Tot: -126158656.000 
(Train - epoch: 1 | iters: 55/56 | time: 4.255) A_RC: -11208400.000 A_RL: 0.004 B_RC: -3014100.500 B_RL: 0.000 A_CY: 6.229 B_CY: 4.850 A_ID: -2695700.250 B_ID: -691400.500 Tot: -17609590.000 
(Train - epoch: 2 | iters: 5/56 | time: 4.205) A_RC: -62054212.000 A_RL: 0.004 B_RC: -165005200.000 B_RL: 0.000 A_CY: 6.098 B_CY: 4.799 A_ID: -2784600.500 B_ID: -710250.375 Tot: -230554272.000 
(Train - epoch: 2 | iters: 10/56 | time: 4.142) A_RC: -121353408.000 A_RL: 0.004 B_RC: -110003000.000 B_RL: 0.000 A_CY: 6.368 B_CY: 4.890 A_ID: -2640900.250 B_ID: -698250.375 Tot: -234695568.000 
(Train - epoch: 2 | iters: 15/56 | time: 4.296) A_RC: -338870400.000 A_RL: 0.004 B_RC: -56046432.000 B_RL: 0.000 A_CY: 8.560 B_CY: 4.930 A_ID: -2724700.250 B_ID: -660200.438 Tot: -398301728.000 
(Train - epoch: 2 | iters: 20/56 | time: 4.212) A_RC: -11235101.000 A_RL: 0.004 B_RC: -2711000.750 B_RL: 0.000 A_CY: 6.451 B_CY: 4.791 A_ID: -2734950.250 B_ID: -657550.438 Tot: -17338592.000 
(Train - epoch: 2 | iters: 25/56 | time: 4.272) A_RC: -315937632.000 A_RL: 0.004 B_RC: -86052328.000 B_RL: 0.000 A_CY: 9.024 B_CY: 4.930 A_ID: -2669350.250 B_ID: -641650.438 Tot: -405300960.000 
(Train - epoch: 2 | iters: 30/56 | time: 4.239) A_RC: -84976008.000 A_RL: 0.004 B_RC: -12680701.000 B_RL: 0.000 A_CY: 6.253 B_CY: 4.936 A_ID: -2763100.250 B_ID: -684650.375 Tot: -101104448.000 
(Train - epoch: 2 | iters: 35/56 | time: 4.314) A_RC: -423972640.000 A_RL: 0.004 B_RC: -103638016.000 B_RL: 0.000 A_CY: 8.678 B_CY: 4.867 A_ID: -2772850.250 B_ID: -618950.438 Tot: -531002464.000 
(Train - epoch: 2 | iters: 40/56 | time: 4.346) A_RC: -316823712.000 A_RL: 0.004 B_RC: -40356804.000 B_RL: 0.000 A_CY: 8.908 B_CY: 4.923 A_ID: -2619750.250 B_ID: -568700.438 Tot: -360368960.000 
(Train - epoch: 2 | iters: 45/56 | time: 4.166) A_RC: -11339801.000 A_RL: 0.005 B_RC: -2802800.500 B_RL: 0.000 A_CY: 6.341 B_CY: 4.947 A_ID: -2861550.250 B_ID: -705600.438 Tot: -17709742.000 
(Train - epoch: 2 | iters: 50/56 | time: 4.170) A_RC: -96794912.000 A_RL: 0.005 B_RC: -77258000.000 B_RL: 0.000 A_CY: 5.228 B_CY: 4.960 A_ID: -3000900.250 B_ID: -536150.438 Tot: -177589952.000 
(Train - epoch: 2 | iters: 55/56 | time: 4.197) A_RC: -9057901.000 A_RL: 0.005 B_RC: -3198300.500 B_RL: 0.000 A_CY: 6.151 B_CY: 5.019 A_ID: -2902950.500 B_ID: -811150.375 Tot: -15970292.000 
(Train - epoch: 3 | iters: 5/56 | time: 4.058) A_RC: -8150800.500 A_RL: 0.006 B_RC: -1230800.625 B_RL: 0.000 A_CY: 5.496 B_CY: 5.205 A_ID: -3101800.250 B_ID: -355000.406 Tot: -12838391.000 
(Train - epoch: 3 | iters: 10/56 | time: 4.127) A_RC: -452988096.000 A_RL: 0.006 B_RC: -143829536.000 B_RL: 0.000 A_CY: 5.544 B_CY: 5.259 A_ID: -3718850.250 B_ID: -774050.500 Tot: -601310592.000 
(Train - epoch: 3 | iters: 15/56 | time: 4.228) A_RC: -803229376.000 A_RL: 0.006 B_RC: -80101112.000 B_RL: 0.000 A_CY: 5.562 B_CY: 5.278 A_ID: -3203000.500 B_ID: -893450.438 Tot: -887426944.000 
(Train - epoch: 3 | iters: 20/56 | time: 4.376) A_RC: -12103701.000 A_RL: 0.006 B_RC: -3093000.750 B_RL: 0.000 A_CY: 6.849 B_CY: 5.151 A_ID: -3227850.500 B_ID: -666650.375 Tot: -19091190.000 
(Train - epoch: 3 | iters: 25/56 | time: 4.401) A_RC: -592313216.000 A_RL: 0.006 B_RC: -131455208.000 B_RL: 0.000 A_CY: 9.053 B_CY: 5.255 A_ID: -3263700.000 B_ID: -566100.375 Tot: -727598208.000 
(Train - epoch: 3 | iters: 30/56 | time: 4.384) A_RC: -268354144.000 A_RL: 0.006 B_RC: -32476102.000 B_RL: 0.000 A_CY: 10.019 B_CY: 4.925 A_ID: -3274200.250 B_ID: -491250.438 Tot: -304595712.000 
(Train - epoch: 3 | iters: 35/56 | time: 4.373) A_RC: -310894752.000 A_RL: 0.006 B_RC: -46492600.000 B_RL: 0.000 A_CY: 9.447 B_CY: 5.257 A_ID: -3230050.500 B_ID: -558150.438 Tot: -361175552.000 
(Train - epoch: 3 | iters: 40/56 | time: 4.283) A_RC: -297364608.000 A_RL: 0.006 B_RC: -29778802.000 B_RL: 0.000 A_CY: 8.785 B_CY: 5.240 A_ID: -3285450.500 B_ID: -7029251.000 Tot: -337458112.000 
(Train - epoch: 3 | iters: 45/56 | time: 4.312) A_RC: -116413008.000 A_RL: 0.006 B_RC: -5137000.500 B_RL: 0.000 A_CY: 6.842 B_CY: 5.274 A_ID: -3288500.500 B_ID: -775800.438 Tot: -125614296.000 
(Train - epoch: 3 | iters: 50/56 | time: 4.328) A_RC: -84636208.000 A_RL: 0.006 B_RC: -19990000.000 B_RL: 0.000 A_CY: 6.655 B_CY: 5.278 A_ID: -3302050.500 B_ID: -704300.438 Tot: -108632544.000 
(Train - epoch: 3 | iters: 55/56 | time: 4.303) A_RC: -445759552.000 A_RL: 0.006 B_RC: -228439216.000 B_RL: 0.000 A_CY: 9.201 B_CY: 5.203 A_ID: -3272350.250 B_ID: -552800.438 Tot: -678023936.000 
(Train - epoch: 4 | iters: 5/56 | time: 4.384) A_RC: -311196288.000 A_RL: 0.006 B_RC: -50506508.000 B_RL: 0.000 A_CY: 9.573 B_CY: 5.266 A_ID: -3270500.250 B_ID: -666350.438 Tot: -365639616.000 
(Train - epoch: 4 | iters: 10/56 | time: 4.314) A_RC: -128202912.000 A_RL: 0.006 B_RC: -11790001.000 B_RL: 0.000 A_CY: 6.644 B_CY: 5.216 A_ID: -3297800.250 B_ID: -852450.375 Tot: -144143168.000 
(Train - epoch: 4 | iters: 15/56 | time: 4.357) A_RC: -311402752.000 A_RL: 0.006 B_RC: -141857200.000 B_RL: 0.000 A_CY: 9.449 B_CY: 5.259 A_ID: -3229200.500 B_ID: -577650.438 Tot: -457066848.000 
(Train - epoch: 4 | iters: 20/56 | time: 4.223) A_RC: -137128016.000 A_RL: 0.007 B_RC: -108512608.000 B_RL: 0.000 A_CY: 6.711 B_CY: 5.315 A_ID: -3267450.500 B_ID: -630250.375 Tot: -249538336.000 
(Train - epoch: 4 | iters: 25/56 | time: 4.374) A_RC: -124705312.000 A_RL: 0.006 B_RC: -33417804.000 B_RL: 0.000 A_CY: 9.907 B_CY: 5.199 A_ID: -3281150.250 B_ID: -529950.438 Tot: -161934208.000 
(Train - epoch: 4 | iters: 30/56 | time: 4.287) A_RC: -91973408.000 A_RL: 0.006 B_RC: -31653904.000 B_RL: 0.000 A_CY: 5.486 B_CY: 4.914 A_ID: -3262200.500 B_ID: -574050.438 Tot: -127463544.000 
(Train - epoch: 4 | iters: 35/56 | time: 4.266) A_RC: -25443704.000 A_RL: 0.006 B_RC: -3413200.500 B_RL: 0.000 A_CY: 6.419 B_CY: 5.232 A_ID: -3261600.500 B_ID: -812900.375 Tot: -32931392.000 
(Train - epoch: 4 | iters: 40/56 | time: 4.096) A_RC: -98994800.000 A_RL: 0.006 B_RC: -60095600.000 B_RL: 0.000 A_CY: 5.306 B_CY: 5.168 A_ID: -3260200.250 B_ID: -567600.438 Tot: -162918208.000 
(Train - epoch: 4 | iters: 45/56 | time: 4.149) A_RC: -8251900.500 A_RL: 0.006 B_RC: -1040400.562 B_RL: 0.000 A_CY: 5.543 B_CY: 5.252 A_ID: -3261850.250 B_ID: -376950.406 Tot: -12931090.000 
(Train - epoch: 4 | iters: 50/56 | time: 4.277) A_RC: -36619752.000 A_RL: 0.006 B_RC: -288293600.000 B_RL: 0.000 A_CY: 6.373 B_CY: 5.247 A_ID: -3261850.250 B_ID: -861600.438 Tot: -329036800.000 
